Validation Fold,Training Acc,Validation Acc
0,52.672813415527344,23.387096774193548
1,97.51152038574219,48.38709677419355
2,69.1705093383789,17.741935483870968
3,59.907833099365234,22.580645161290324
4,51.00806427001953,22.580645161290324
