Validation Fold,Training Acc,Validation Acc
0,54.88479232788086,34.67741935483871
1,94.33179473876953,48.38709677419355
2,38.43317794799805,13.709677419354838
3,35.71428680419922,29.032258064516128
4,30.725807189941406,4.838709677419355
